SSC
2.0248
2.0142
2.0398
1.9108
1.9051
2.1126
2.0256
1.8292
1.8876
1.8181
1.7202
1.7676
1.886
1.863
1.956
2.0986
2.3822
2.4927
2.4132
2.5336
2.5593
2.6925
2.8853
2.8374
2.7755
2.9101
2.8611
2.6893
2.7778
2.8899
2.8946
3.2331
3.3748
3.4466
3.3576
3.1356
3.9111
3.8329
3.2035
2.7584
2.7535
2.8055
3.372
2.9789
2.9114
3.0648
3.2483
2.9704
3.0695
2.2981
2.4898
2.3573
2.5924
2.9422
3.5499
2.9003
3.2174
3.4114
3.5222
3.5645
3.3282
3.3828
3.2604
3.4656
3.3536
3.7387
3.9668
3.7817
3.5308
3.5531
3.2558
3.0925
3.2654
2.272
2.2515
2.5882
2.7628
2.8382
2.9925
3.4933
2.7588
2.5615
2.7167
3.0052
3.1325
3.5916
3.3002
2.6794
2.5849
2.6495
2.6703
3.0061
2.9577
2.495
2.4334
2.5963
2.6472
2.8529
2.4125
2.4089
2.3648
2.4751
2.4467
2.4856
2.8739
2.46
2.3594
2.4568
2.5993
2.6468
2.9047
2.6707
2.348
2.2786
2.2141
2.1663
2.4459
2.3999
2.2359
2.2901
2.3895
2.455
2.7412
2.3484
2.2025
2.129
1.9753
1.9104
2.1792
2.1703
2.0662
2.3601
2.7787
2.8131
3.0372
3.5303
3.4991
3.4504
3.2831
3.1324
3.4044
3.6159
3.9389
4.2735
3.9575
3.4454
3.0592
2.9564
2.9728
2.9469
2.6876
2.5864
2.7194
3.0495
3.3759
3.3745
3.1119
3.0553
3.2182
3.3296
3.3929
3.347
3.3277
3.3094
3.3507
3.543
3.652
3.5589
3.2495
2.8933
2.7805
2.7398
2.7496
2.7384
2.7219
2.594
2.4452
2.7324
2.832
3.0943
2.5629
2.1209
2.1272
1.9463
2.0884
2.7182
2.2434
1.9462
2.3669
2.8491
2.923
3.1319
3.5463
2.5512
1.9623
1.9225
1.9698
2.079
2.3807
1.9521
1.8922
1.8791
1.9023
1.9779
2.2888
2.0112
1.8027
1.776
1.7144
1.6585
2.0891
1.8028
1.719
1.813
1.8019
1.7524
1.8793
1.8947
1.6697
1.6438
1.6211
1.5105
1.5374
1.7311
1.6336
1.6816
1.6682
1.6288
1.7468
1.8096
1.5901
1.6284
1.7621
1.8945
2.1152
2.5588
2.357
2.0407
2.1482
2.2193
2.2752
2.2946
2.3786
2.5928
2.9121
3.317
3.2096
3.3612
3.3428
3.4239
3.3296
3.1307
3.2005
4.4161
3.7069
3.3365
3.3478
3.0075
3.0194
2.9403
2.9784
2.3932
2.4101
2.6031
2.7035
2.8528
3.3004
2.976
2.9729
3.1265
3.3702
3.4713
3.2457
3.1002
3.441
3.2031
3.4419
3.4011
3.8076
3.061
3.0251
3.0734
2.9947
3.04
3.4476
3.0138
2.8479
2.7625
2.7447
2.7876
3.103
3.2564
2.8509
2.8399
2.8343
2.5718
2.5301
2.8875
2.8414
2.7927
2.7759
2.7257
2.7182
3.018
2.8642
2.5224
2.5532
2.3226
2.4438
2.6885
2.6427
2.6031
2.4364
2.6639
2.8126
2.8678
3.2364
2.793
2.5773
2.4288
2.2794
2.1753
2.3501
2.373
2.4314
2.4153
2.4962
2.5809
2.6606
2.4368
2.2998
2.2311
2.0409
2.096
2.213
2.2869
2.3177
2.312
2.5193
2.7129
3.1845
3.1374
3.3641
3.3749
3.2601
2.7534
2.7321
3.0163
2.7571
2.7877
3.004
3.0802
3.7003
3.7212
3.3732
3.4253
3.0133
2.3154
3.4095
1.9592
2.1891
2.9176
2.8734
2.9653
3.2477
3.4917
3.0277
2.7483
2.4486
2.689
2.8978
3.0787
2.7074
2.2751
2.5824
2.7319
2.7532
3.0304
2.798
2.3239
2.4167
2.5801
2.6564
2.9376
2.5496
2.4392
2.586
2.5803
2.7834
2.9402
3.155
2.6325
2.2799
2.1662
2.1345
2.0553
2.1684
2.1258
2.2155
2.3294
2.3457
2.3203
2.5705
2.2646
2.0288
1.9963
1.9968
1.9961
2.1053
2.0743
2.2894
2.3274
2.3647
2.4966
2.6909
2.6363
2.2562
2.1409
1.9576
1.8528
1.7699
1.9015
1.9171
2.1846
2.23
2.2153
2.1917
2.413
2.1227
1.9141
1.7928
1.6909
1.6231
1.7201
1.9692
2.1749
2.1611
2.2255
2.2299
2.4992
2.3973
2.1377
2.0514
1.8261
1.7126
1.7217
1.8803
1.8842
2.1365
2.1026
2.0701
2.1023
2.239
1.9491
1.8093
1.6839
1.6045
1.5581
1.6605
1.8926
2.0836
2.0283
2.0516
2.0539
2.3077
2.1046
2.0012
1.8699
1.741
1.6351
1.6712
1.7281
1.859
2.0103
1.9481
1.9167
1.9292
2.1661
1.9284
1.7684
1.6284
1.5562
1.5419
1.6894
1.6948
1.8984
1.8365
1.819
1.8159
2.0594
1.953
1.8627
1.7486
1.6733
1.9435
2.1625
2.1938
2.1437
2.2631
2.2242
2.3498
2.3806
2.7664
2.4331
2.4
2.3786
2.1085
1.9135
2.1099
2.5323
2.5485
2.5119
2.4708
2.3626
2.5869
2.6065
2.9239
3.2394
3.2312
3.1115
2.9112
2.7556
2.8168
2.6542
2.6802
2.6306
2.485
2.6526
2.8536
3.1324
3.5129
3.3083
