"","s0","s0","s0","s0","s0","s0"
"1",-0.168230801740978,-0.167990395560955,-0.168087946090977,-0.167721152529513,-0.168616465479862,-0.167744654316251
"2",-0.171903573833572,-0.17165532843731,-0.171749726388743,-0.171373868457431,-0.172274982326903,-0.171388532161898
"3",-0.175544039268118,-0.175287996872106,-0.175379233482081,-0.174994373723048,-0.175901158205432,-0.175000209924239
"4",-0.179151600855454,-0.178887804792678,-0.178975871595283,-0.178582073922797,-0.179494397300458,-0.178579094239891
"5",-0.182725661406417,-0.182454156126363,-0.182539044952639,-0.182136374653113,-0.183054103796992,-0.182124591745469
"6",-0.186265623731845,-0.185986454800496,-0.18606815777844,-0.185656681510428,-0.186579681880045,-0.18563610907759
"7",-0.189770890642575,-0.189484104742415,-0.189562614296977,-0.189142400091177,-0.190070535734627,-0.189113052872871
"8",-0.193240864949444,-0.192946509879453,-0.193021818732539,-0.192592935991794,-0.193526069545748,-0.192554829767929
"9",-0.19667494946329,-0.196373074138948,-0.196445175309418,-0.196007694808712,-0.196945687498419,-0.195960846399379
"10",-0.20007254699495,-0.199763201448236,-0.199832088251903,-0.199386082138365,-0.200328793777651,-0.19933050940384
"11",-0.203433060355261,-0.203116295734653,-0.203181961784287,-0.202727503577187,-0.203674792568454,-0.202663225417926
"12",-0.206755892355061,-0.206431760925533,-0.206494200130858,-0.206031364721613,-0.206983088055838,-0.205958401078256
"13",-0.210040445805188,-0.209709000948215,-0.209768207515909,-0.209297071168075,-0.210253084424814,-0.209215443021444
"14",-0.213286123516478,-0.212947419730032,-0.213003388163728,-0.212524028513008,-0.213484185860393,-0.212433757884109
"15",-0.21649232829977,-0.216146421198323,-0.216199146298608,-0.215711642352845,-0.216675796547584,-0.215612752302866
"16",-0.2196584629659,-0.219305409280422,-0.219354886144838,-0.218859318284021,-0.219827320671399,-0.218751832914333
"17",-0.222783930325705,-0.222423787903665,-0.222470011926708,-0.221966461902969,-0.222938162416848,-0.221850406355125
