"","s0","s0","s0","s0","s0","s0"
"1",0.0289275657127507,0.0283224175652817,0.0274785056373919,0.0270321664133679,0.0260462734005575,0.025652263925612
"2",0.024969332137146,0.0243605408740258,0.0235030542827168,0.0230701697086264,0.0220730006701743,0.0216996676376471
"3",0.0209173089445136,0.0203064886483713,0.019437579869622,0.0190194165733256,0.0180134620425985,0.0176619462524989
"4",0.0167808604563548,0.0161696107554774,0.0152914312596517,0.0148892105195103,0.0138769507974269,0.0135483347674611
"5",0.0125694152295399,0.0119593088272656,0.0110739905540834,0.0106888818627944,0.00967276629246123,0.00936806976881603
"6",0.00829240182093875,0.00768498449565726,0.00679463985419402,0.00642776091879202,0.00541020788550326,0.00513038784284586
"7",0.00395924878742158,0.00335603939257356,0.00246276126126081,0.00211517800311702,0.0010985749343546,0.000844525575832606
"8",-0.00042061531414139,-0.00101812485006397,-0.00191226312343894,-0.00223953656861646,-0.00325283320318288,-0.00348028044594138
"9",-0.0048377619268801,-0.00542810660033406,-0.00632105119862807,-0.00662705248079447,-0.00763471716930752,-0.00783479363619401
"10",-0.00928276249392428,-0.00986450422631519,-0.0107542208630292,-0.0110380394178028,-0.0120377776062174,-0.0122097774086429
"11",-0.0137461884584039,-0.0143179160960862,-0.0152023900153654,-0.0154631670640277,-0.016452715156111,-0.0165959951770061
"12",-0.018218611263449,-0.0187789405777257,-0.0196561765543594,-0.0198931051038552,-0.0208702304611866,-0.0209842103550014
"13",-0.0226906023521891,-0.0232381760393121,-0.0241061983787338,-0.0243185232216708,-0.0252810241636421,-0.0253651863563463
"14",-0.0271527331677541,-0.0276862208489242,-0.0285430733872113,-0.0287300911018608,-0.0296757969056759,-0.0297296865947588
"15",-0.0315955751532739,-0.0321136733746405,-0.0329574194785149,-0.0331184784288111,-0.0340452493294863,-0.0340684744839567
"16",-0.0360096997518786,-0.0365111319845399,-0.0373398545513676,-0.0374743548869079,-0.0383800820772718,-0.038372313437658
"17",-0.0403856784066978,-0.0408691950467009,-0.0416809965044918,-0.041788390160537,-0.0426709957912304,-0.0426319668695802
"18",-0.0447140825608614,-0.0451784609292021,-0.0459714632366103,-0.0460512539340843,-0.0469086911135602,-0.0468381981934413
"19",-0.0489854836574994,-0.0494295280001222,-0.0502018726464463,-0.050253615891936,-0.0510838686864599,-0.0509817708229591
"20",-0.0531904531397413,-0.0536129946275396,-0.0543628426327219,-0.0543861457184776,-0.0551872291521271,-0.0550534481718511
"21",-0.0573195624507176,-0.0577194591795334,-0.0584449910941607,-0.0584395130980959,-0.0592094731527609,-0.0590439936538357
"22",-0.0613633830335576,-0.0617395200241819,-0.0624389359294849,-0.0624043877151762,-0.0631413013305589,-0.0629441706826302
"23",-0.0653124863313913,-0.0656637755295637,-0.0663352950374175,-0.0662714392541046,-0.0669734143277194,-0.0667447426719526
"24",-0.0691574437873484,-0.0694828240637574,-0.070124686316681,-0.070031337399267,-0.0706965127864408,-0.0704364730355204
"25",-0.0728888268445591,-0.0731872639948419,-0.0737977276659986,-0.0736747518350497,-0.0743012973489213,-0.0740101251870518
"26",-0.0764972069461528,-0.0767676936908954,-0.0773450369840926,-0.0771923522458382,-0.0777784686573591,-0.0774564625402643
"27",-0.0799731555352598,-0.080214711519997,-0.0807572321696863,-0.0805748083160188,-0.0811187273539525,-0.0807662485088759
"28",-0.0833072440550096,-0.083518915850225,-0.0840249311215021,-0.0838127897299775,-0.0843127740808998,-0.0839302465066044
"29",-0.0864900439485325,-0.0866709050496584,-0.0871387517382631,-0.0868969661721003,-0.0873513094803994,-0.0869392199471677
"30",-0.089512126658958,-0.0896612774863755,-0.0900893119186919,-0.0898180073267731,-0.0902250341946493,-0.0897839322442835
"31",-0.0923643151430347,-0.0924809015792505,-0.0928675271104813,-0.0925668900151858,-0.0929249863356574,-0.092455490423338
"32",-0.0950386670452786,-0.0951219670682003,-0.0954657622400652,-0.0951360855828979,-0.0954438398996121,-0.0949466659214728
"33",-0.0975286131030167,-0.0975781113604959,-0.0978779391726545,-0.0975196613419758,-0.0977759853127912,-0.0972519696015038
"34",-0.0998289957335975,-0.0998444324577142,-0.100099513688813,-0.0997132405480411,-0.0999174495627101,-0.0993675590156903
"35",-0.101936596853715,-0.101918023374819,-0.102128023452094,-0.101714548590144,-0.101866456823757,-0.101291796595079
"36",-0.103850074703737,-0.103797861237431,-0.103962907772777,-0.103523206119744,-0.103623144300379,-0.103024947511487
"37",-0.105569703443168,-0.105484483063726,-0.105605088166187,-0.105140277613283,-0.105189004898662,-0.104568601366994
"38",-0.107097034265745,-0.106979609373604,-0.107056534889934,-0.10656782083239,-0.106566373441637,-0.105925147790625
"39",-0.108434359458468,-0.108285653216091,-0.108319843339992,-0.107808486296443,-0.107758101681815,-0.107097468741064
"40",-0.109584496426888,-0.109405497934264,-0.109398001211933,-0.108865283590584,-0.108767312874704,-0.108088693687085
"41",-0.110550622132368,-0.110342324427255,-0.110294202298178,-0.109741395499305,-0.109597201095067,-0.108901999853073
"42",-0.111335981551276,-0.111099368404814,-0.11101167558672,-0.110440033187804,-0.110250966853514,-0.109540566145895
"43",-0.111943819659979,-0.111679865576692,-0.111553650065552,-0.110964407821276,-0.110731810660655,-0.110007571472424
"44",-0.112377381434846,-0.11208705165264,-0.111923354722666,-0.111317730564918,-0.1110429330271,-0.110306194739527
"45",-0.112639902620965,-0.112324152430762,-0.112124007625147,-0.111503201311115,-0.111187522077339,-0.11043960224253
"46",-0.112734573646802,-0.112394345212847,-0.112158773640002,-0.111523965098871,-0.111168705894167,-0.110410899188019
"47",-0.112664534544334,-0.112300754167092,-0.11203076049007,-0.111383108390591,-0.110989549562415,-0.110223126940609
"48",-0.112432879804062,-0.112046456587132,-0.111743027018176,-0.111083668199232,-0.11065306651489,-0.109879274994304
