"","s0","s0","s0","s0","s0","s0"
"1",-0.231904803757012,-0.221566451280011,-0.210353849881929,-0.198300558230105,-0.185455938760592,-0.171857573024273
"2",-0.218534263200704,-0.207835481653146,-0.196314819801099,-0.184005936543546,-0.170954454752764,-0.157196662395248
"3",-0.204310903956771,-0.19331276169658,-0.181548427627677,-0.169051459237213,-0.155863612714117,-0.142019699823496
"4",-0.189312750089211,-0.178074886820846,-0.166129535735893,-0.153509960443786,-0.140253938654965,-0.126394635691666
"5",-0.173617750150038,-0.162198330836384,-0.150132839246699,-0.137454062501387,-0.124195702242962,-0.110389119962901
"6",-0.157297402525271,-0.145752169045909,-0.133624706664782,-0.120947145471416,-0.107749042022172,-0.0940598043321911
"7",-0.140398497984104,-0.128777279059151,-0.116639901068592,-0.104017629515533,-0.09093588918084,-0.0774219720639781
"8",-0.122966888132933,-0.111314181993098,-0.0992134360289417,-0.0866948284090189,-0.0737797264975822,-0.0604931320726938
"9",-0.105055291044826,-0.0934121704725601,-0.0813909918111037,-0.0690206644130297,-0.0563185296950259,-0.0433071488473815
"10",-0.0867237428921232,-0.0751298268916245,-0.0632294811909126,-0.0510502487124033,-0.0386053517035618,-0.0259148194918377
"11",-0.068040080591128,-0.056535518113716,-0.0447975435588841,-0.0328522964761498,-0.02070869778047,-0.00838420648068303
"12",-0.049080217443488,-0.0377076289854323,-0.0261757333548419,-0.0145092176000418,-0.00271255814298312,0.00919938983535652
"13",-0.0299252280444994,-0.0187303232629608,-0.00745097456978089,0.00388968418938164,0.0152916516079561,0.0267427388808944
"14",-0.0106512234671409,0.000320735430604509,0.0113018163404696,0.022270544038655,0.0332313857050954,0.0441748791542374
"15",0.00866726250601849,0.0193724234488069,0.0300112164981272,0.0405639210483744,0.0510394528537318,0.0614311243012037
"16",0.0279556960924095,0.0383516171451893,0.0486058030254095,0.0587003743191357,0.0686486617591625,0.0784467879676113
"17",0.0471395435094629,0.0571851928732952,0.0670141530445343,0.0766104629515352,0.0859918211266847,0.0951571837992786
"18",0.0661413279021144,0.0757966512061701,0.0851610444211863,0.0942205289933953,0.102997117047047,0.111492607167997
"19",0.0848694538556183,0.0940933634208859,0.102953161484431,0.111436886507085,0.119570833833259,0.127359626861828
"20",0.103218249333072,0.111966946297496,0.120279812232211,0.128146896676996,0.135598791787091,0.142642891216575
"21",0.121071567756926,0.129297789339986,0.137018374327951,0.144225352337499,0.150953641918741,0.157213321245273
"22",0.138306476132529,0.145959667613166,0.15303981779591,0.159540914597567,0.165502184179524,0.17093629404798
"23",0.154797040496782,0.161824426592059,0.168214269138888,0.173962524367971,0.179112612995893,0.1836797053642
"24",0.17041811099767,0.176766617450525,0.182416476027597,0.187365641648046,0.191661536258193,0.195321750920404
"25",0.185047650753844,0.190666043694782,0.195528559604193,0.199635173804426,0.203037083011406,0.205754201606325
"26",0.198564367375648,0.203403707717124,0.207434290003185,0.210658116339844,0.213129909647604,0.214871790223568
"27",0.210846968473427,0.214860611909843,0.218017437359086,0.220321464757035,0.221830672558859,0.222569249573737
"28",0.221774161657524,0.224917758665233,0.227161771806409,0.228512214558732,0.229030028137246,0.228741312458438
"29",0.231224654538285,0.233456150375586,0.234751063479665,0.23511736124767,0.234618632774836,0.233282711679276
"30",0.239087705040992,0.240368890918114,0.240682702073546,0.240039017601114,0.238503713994522,0.236106169527246
"31",0.245303648506754,0.245607438070485,0.244919539530974,0.243251759296872,0.240671743496596,0.237210256576312
"32",0.249865514038969,0.249182276080511,0.247489578727884,0.244801270353424,0.241186014646346,0.236675874585189
"33",0.252806105145694,0.251146627251611,0.248466337305711,0.244781285939664,0.240160265100901,0.234636600274916
"34",0.254184525204287,0.251579562718283,0.247948597023998,0.243309961978546,0.237731785694975,0.231248593197456
"35",0.2540732245585,0.250569848664328,0.246041119616727,0.240507571615887,0.234036145477163,0.226662408639563
"36",0.252543828851032,0.248198548898932,0.242834100363159,0.23647300961707,0.229180730241481,0.220993634533898
"37",0.249657805322248,0.244528676718454,0.238391852875772,0.231271623072893,0.223231709067465,0.214309040594342
"38",0.24547418907699,0.239618827700486,0.232772301977979,0.224960438559234,0.216244998059529,0.206663228038131
"39",0.240052219817478,0.23352761512542,0.226033202401689,0.217596122498174,0.208275964024327,0.198110059355988
"40",0.233451053035852,0.226313361693489,0.218231812585697,0.20923464119034,0.199379070199478,0.188702290865317
"41",0.225729509904886,0.218033826027519,0.209424599090377,0.199930946330645,0.189607542501243,0.178491220970669
"42",0.216946331642218,0.208746637995242,0.199667851381573,0.189739765357363,0.179014335419915,0.167527829980275
"43",0.207160259465487,0.198509427464391,0.189017858925131,0.178715825708769,0.167652403445787,0.155863098202373
"44",0.196430192385163,0.187380005295169,0.177531114884033,0.16691408092042,0.15557494891063,0.143548274999955
"45",0.18481451810703,0.175415592379942,0.165263445275784,0.154388741055087,0.14283435636627,0.130633719289755
"46",0.172366294881535,0.162667303619512,0.152263810622042,0.141186401585653,0.129474669312446,0.117160740651778
"47",0.15913307645052,0.149180066709938,0.138574323030051,0.12734616438947,0.115531818673508,0.103161938378908
"48",0.145158266569402,0.134994325760653,0.124232296960756,0.112902043961632,0.101036373977204,0.0886642934249442
"49",0.130482505389756,0.120147777946491,0.109272330828193,0.0978853974240897,0.0860163085637918,0.0736922626438735
"50",0.115145097802426,0.104677143849574,0.0937284117800466,0.0823273529540887,0.0704997456130125,0.0582708360243321
"51",0.0991855196967913,0.0886200284270042,0.0776361230556768,0.0662613415079756,0.0545178162491442,0.0424287143415623
"52",0.0826445485325422,0.0720162357684438,0.0610341369664111,0.049724753282494,0.0381064809549236,0.026200289573105
"53",0.0655632825964695,0.0549060866048372,0.043961836431153,0.0327558783241213,0.0213027893339578,0.00962123008629594
"54",0.0479828201753642,0.0373299016671297,0.0264586043688069,0.0153930066793352,0.00414379098985461,-0.00727279575152837
"55",0.0299442595560169,0.0193280016862658,0.00856382369827653,-0.00232557160538692,-0.0133334644737788,-0.0244461195730322
"56",0.0114886990252183,0.00094070739319015,-0.00968312266153453,-0.0203615664835679,-0.0310919274533356,-0.0418630730108799
"57",-0.00734276313024088,-0.0177916604811523,-0.0282428517917222,-0.0386766879087301,-0.0490945483452081,-0.0594879876977354
"58",-0.0265090286235696,-0.0368287812058166,-0.0470759807733825,-0.057232645834396,-0.067304277545789,-0.0772851952662625
"59",-0.0459689991679774,-0.0561303340498581,-0.0661431266876117,-0.0759911502140882,-0.085684065451471,-0.0952190273491254
"60",-0.0656815764766732,-0.0756559982823319,-0.0854049066155057,-0.0949139110013293,-0.104196862458647,-0.113253815578988
"61",-0.0856056622628665,-0.0953654531722934,-0.104821937638161,-0.113962638149642,-0.122805618963709,-0.131353891588515
"62",-0.105700158239766,-0.115218377988798,-0.124354836836673,-0.133099041612548,-0.141473285363051,-0.149483587010369
"63",-0.125923966120582,-0.1351744520009,-0.143964221292139,-0.152284831343572,-0.160162812053065,-0.167607233477216
"64",-0.146233269725826,-0.155190236984228,-0.163607199517109,-0.171477822897794,-0.178832880500193,-0.185684528304913
"65",-0.166571214552859,-0.175207399500035,-0.183224170856715,-0.190617336222223,-0.197421946137753,-0.203653257589407
