"","s0","s0","s0","s0","s0","s0"
"1",-0.0779230031230905,-0.0769746153392545,-0.0757811648014207,-0.0749439036598447,-0.073554860545501,-0.0727586800202007
"2",-0.0731226054637241,-0.0721889313335409,-0.0710068828009467,-0.0701965556990077,-0.0688248991352626,-0.0680610705728384
"3",-0.0683307069672553,-0.0674119298027013,-0.0662415676904474,-0.0654582437042684,-0.0641042824158195,-0.0633728287561876
"4",-0.0635487483066351,-0.0626450473055849,-0.061486653044511,-0.060730393337424,-0.0593944313186493,-0.0586953659103083
"5",-0.0587781701548147,-0.0578897204010405,-0.056743572437726,-0.0560144302602712,-0.0546967667752298,-0.0540300933752603
"6",-0.0540204131847453,-0.0531473856479175,-0.052013759444681,-0.0513117801346073,-0.0500127097170393,-0.0493784224911035
"7",-0.049276918069378,-0.0484194796050649,-0.0472986476399645,-0.0466238686222293,-0.0453436810755555,-0.0447417645978979
"8",-0.0445491254816641,-0.0437074388313318,-0.042599670598165,-0.0419521213849343,-0.0406911017822564,-0.0401215310357033
"9",-0.0398384760945546,-0.0390126998855671,-0.0379182618938708,-0.0372979640845191,-0.0360563927686197,-0.0355191331445795
"10",-0.0351464105810007,-0.03433669932662,-0.0332558551016706,-0.0326628223827809,-0.0314409749661237,-0.0309359822645865
"11",-0.0304743696139537,-0.0296808737133397,-0.0286138837961528,-0.0280481219415167,-0.026846269306246,-0.0263734897357843
"12",-0.0258237938663647,-0.0250466596045752,-0.0239937815519059,-0.0234552884225237,-0.0222736967204648,-0.0218330668982328
"13",-0.0211961240111847,-0.0204354935591754,-0.0193969819435183,-0.0188857474875985,-0.0177246781402576,-0.0173161250919915
"14",-0.016592800721365,-0.0158488121359898,-0.0148249185455787,-0.0143409247985387,-0.0132006344971028,-0.0128240756571209
"15",-0.0120152646698569,-0.0112880518938672,-0.0102790249326756,-0.009822246017141,-0.00870298672247817,-0.00835832993368055
"16",-0.00746495652961145,-0.00675464939165681,-0.00576073467939739,-0.00533113680520262,-0.00423315574786168,-0.00392029926173052
"17",-0.00294331697357983,-0.00225004118820769,-0.00127148136033256,-0.000869022824520497,0.000207437495268827,0.000488605018669389
"18",0.00154821332528683,0.00222433615763112,0.00318730144993042,0.00356267026310835,0.00461737207543544,0.00486697156745932
"19",0.00600819369403744,0.00666704608701061,0.00761418017680315,0.00796251679588698,0.00899522706116032,0.00921338904457944
"20",0.0104351834597206,0.0110766520410815,0.0120077212456969,0.0123290911120182,0.0133395815209654,0.0135264461099697
"21",0.0148277419493855,0.0154517174609949,0.0163664910820235,0.0166609675497051,0.0176490145233729,0.0178047314235704
"22",0.0191844284900807,0.0197908057879016,0.0206890561111942,0.0209567204471504,0.0219221051369047,0.0220468336453213
"23",0.0235038024088551,0.0240924804629526,0.0249739827586207,0.0252149241425574,0.0261574324300831,0.0262513414351629
"24",0.0277844230327576,0.0283553049272987,0.0292198374497143,0.0294341529741289,0.0303535754714299,0.0304168434530351
"25",0.032024849688837,0.0325778426220909,0.0334251866098865,0.0336129812800677,0.0345091133294674,0.0345419283588778
"26",0.0362236417041419,0.0367586569884799,0.037588596664549,0.0377499833985769,0.0386226250727174,0.0386251848126313
"27",0.0403793584057214,0.0408963114676169,0.0417086340391131,0.0418437336678595,0.0426926897697023,0.0426652014742358
"28",0.0444905591206243,0.0449893695006527,0.0457838651589905,0.0458928064261184,0.0467178864889439,0.0466605670036312
"29",0.0485558031758993,0.049036394528738,0.0498128564495924,0.0498957760115565,0.0506967942989644,0.0506098700607576
"30",0.0525736498985953,0.053035949993024,0.0537941743363307,0.0538512167623768,0.0546279922682859,0.0545116993055552
"31",0.0565426586157612,0.0569865993346615,0.0577263852446167,0.0577577030167824,0.0585100594654304,0.0583646433979642
"32",0.0604613886544458,0.0608869059948014,0.0616080555998619,0.0616138091129761,0.0623415749589201,0.0621672909979245
"33",0.064328399341698,0.0647354334145948,0.065437751827478,0.0654181093891611,0.0661211178172771,0.0659182307653764
"34",0.0681422500045663,0.0685307450351922,0.069214040352876,0.0691691781835398,0.069847267109023,0.0696160513602597
"35",0.0719014999701001,0.072271404297745,0.0729354876014681,0.0728655898343159,0.0735186019026806,0.0732593414425149
"36",0.075604708565348,0.0759559746434039,0.0766006599986656,0.0765059186796921,0.0771337012667717,0.076846689672082
"37",0.0792504351173585,0.0795830195133197,0.0802081239698796,0.080088739057871,0.0806911442698181,0.0803766847089007
"38",0.0828372389531807,0.0831511023486433,0.0837564459405219,0.0836126253070558,0.084189509980342,0.0838479152129114
"39",0.0863636793998636,0.0866587865905259,0.0872441923360041,0.0870761517654497,0.0876273774668657,0.0872589698440544
