"","s0","s0","s0","s0","s0","s0"
"1",-0.103796519817053,-0.103539945052963,-0.103482895088635,-0.103176344549876,-0.103513665631077,-0.102968581135821
"2",-0.103000531889173,-0.102745379894671,-0.102688636422823,-0.10238387276752,-0.10271911846071,-0.102177331426079
"3",-0.102202400006019,-0.101948674987063,-0.10189223934364,-0.101589267624931,-0.1019224334494,-0.101383952587086
"4",-0.101402130658565,-0.101149836808978,-0.101093710326698,-0.100792535582807,-0.101123617073184,-0.100588451068231
"5",-0.100599730337785,-0.100348871839255,-0.100293055847607,-0.099993683101845,-0.1003226758081,-0.0997908333189049
"6",-0.0997952055346516,-0.099545786556731,-0.0994902823819779,-0.0991927166427406,-0.0995196161301848,-0.0989911057884988
"7",-0.0989885627401393,-0.0987405874402452,-0.0986853964054206,-0.0983896426661907,-0.0987144445154765,-0.0981892749264029
"8",-0.0981798084452217,-0.0979332809686355,-0.0978784043935461,-0.0975844676328915,-0.0979071674400123,-0.0973853471820077
"9",-0.0973689491408727,-0.0971238736207404,-0.0970693128219652,-0.0967771980035399,-0.0970977913798301,-0.0965793290047039
"10",-0.0965559913180659,-0.0963123718753982,-0.0962581281662884,-0.0959678402388323,-0.0962863228109674,-0.0957712268438821
"11",-0.0957409414677752,-0.095498782211447,-0.0954448569021263,-0.0951564007994651,-0.0954727682094618,-0.0949610471489327
"12",-0.0949238060809742,-0.0946831111077253,-0.0946295055050895,-0.094342886146135,-0.0946571340513508,-0.0941487963692463
"13",-0.0941045916486367,-0.0938653650430711,-0.0938120804507887,-0.0935273027395383,-0.0938394268126719,-0.0933344809542133
"14",-0.0932833046617363,-0.0930455504963229,-0.0929925882148345,-0.0927096570403716,-0.0930196529694628,-0.0925181073532245
"15",-0.0924599516112469,-0.092223673946319,-0.0921710352728375,-0.0918899555093314,-0.0921978189977609,-0.0916996820156703
"16",-0.0916345389881423,-0.0913997418718975,-0.0913474281004084,-0.0910682046071143,-0.091373931373604,-0.0908792113909413
"17",-0.0908070732833962,-0.090573760751897,-0.0905217731731578,-0.0902444107944168,-0.0905479965730296,-0.0900567019284281
"18",-0.0899775609879821,-0.0897457370651555,-0.0896940769666962,-0.0894185805319353,-0.0897200210720751,-0.0892321600775211
"19",-0.0891460085928742,-0.0889156772905115,-0.0888643459566346,-0.0885907202803666,-0.0888900113467785,-0.0884055922876112
"20",-0.0883124225890459,-0.0880835879068032,-0.0880325866185832,-0.0877608365004068,-0.0880579738731768,-0.0875770050080885
"21",-0.0874768094674711,-0.0872494753928689,-0.0871988054281529,-0.0869289356527528,-0.087223915127308,-0.0867464046883439
"22",-0.0866391757191235,-0.0864133462275468,-0.0863630088609542,-0.0860950241981009,-0.0863878415852095,-0.0859137977777677
"23",-0.0857995278349769,-0.0855752068896753,-0.0855252033925977,-0.0852591085971477,-0.0855497597229189,-0.0850791907257506
"24",-0.0849578723060049,-0.0847350638580927,-0.0846853954986941,-0.0844211953105896,-0.0847096760164738,-0.0842425899816832
"25",-0.0841142156231814,-0.0838929236116372,-0.0838435916548541,-0.0835812907991233,-0.0838675969419117,-0.0834040019949559
"26",-0.0832685642774799,-0.083048792629147,-0.0829997983366881,-0.0827394015234451,-0.0830235289752701,-0.0825634332149593
"27",-0.0824209247598744,-0.0822026773894607,-0.0821540220198069,-0.0818955339442516,-0.0821774785925868,-0.081720890091084
"28",-0.0815713035613387,-0.0813545843714163,-0.0813062691798211,-0.0810496945222395,-0.0813294522698992,-0.0808763790727205
"29",-0.0807197071728463,-0.0805045200538523,-0.0804565462923414,-0.080201889718105,-0.080479456483245,-0.0800299066092594
"30",-0.079866142085371,-0.0796524909156068,-0.0796048598329783,-0.0793521259925448,-0.0796274977086616,-0.0791814791500912
"31",-0.0790106147898867,-0.0787985034355182,-0.0787512162773424,-0.0785004098062555,-0.0787735824221867,-0.0783311031446065
"32",-0.0781531317773669,-0.0779425640924246,-0.0778956221010444,-0.0776467476199333,-0.0779177170998577,-0.0774787850421958
"33",-0.0772936995387856,-0.0770846793651646,-0.077038083779695,-0.076791145894275,-0.0770599082177124,-0.0766245312922497
"34",-0.0764323245651165,-0.0762248557325763,-0.0761786077889047,-0.0759336110899771,-0.0762001622517882,-0.0757683483441588
"35",-0.0755690133473331,-0.075363099673498,-0.0753172006042842,-0.0750741496677359,-0.0753384856781228,-0.0749102426473135
"36",-0.0747037723764094,-0.074499417666768,-0.074453868701444,-0.0742127680882481,-0.0744748849727536,-0.0740502206511044
"37",-0.073836608143319,-0.0736338161912246,-0.0735886185559949,-0.0733494728122102,-0.0736093666117184,-0.0731882888049221
"38",-0.0729675271390358,-0.0727663017257061,-0.0727214566435475,-0.0724842703003187,-0.0727419370710546,-0.0723244535581571
"39",-0.0720965358545336,-0.0718968807490509,-0.0718523894397125,-0.0716171670132702,-0.0718726028267999,-0.0714587213602002
"40",-0.0712236407807858,-0.0710255597400971,-0.0709814234201003,-0.0707481694117611,-0.0710013703549917,-0.0705910986604416
"41",-0.0703488484087665,-0.0701523451776831,-0.0701085650603217,-0.069877283956488,-0.0701282461316678,-0.0697215919082722
"42",-0.0694721652294492,-0.0692772435406471,-0.0692338208359872,-0.0690045171081472,-0.0692532366328656,-0.0688502075530821
"43",-0.0685935977338078,-0.0684002613078274,-0.0683571972227076,-0.0681298753274355,-0.0683763483346227,-0.0679769520442622
"44",-0.067713152412816,-0.0675214049580624,-0.0674787006960934,-0.0672533650750493,-0.0674975877129767,-0.0671018318312031
"45",-0.0668308357574476,-0.0666406809701904,-0.0665983377317553,-0.0663749928116851,-0.0666169612439652,-0.0662248533632951
"46",-0.0659466542586762,-0.0657580958230495,-0.0657161148053039,-0.0654947649980394,-0.0657344754036256,-0.0653460230899288
"47",-0.0650606144074757,-0.0648736559954781,-0.0648320383923498,-0.0646126880948087,-0.0648501366679957,-0.064465347460495
"48",-0.0641727226948196,-0.0639873679663144,-0.0639461149685036,-0.0637287685626895,-0.0639639515131128,-0.0635828329243838
