"","ResidualOutput.ResidualOutput.ResidualOutput.ResidualOutput.ResidualOutput.ResidualOutput.ResidualOutput","ResidualOutput.ResidualOutput.ResidualOutput.ResidualOutput.ResidualOutput.ResidualOutput.BasicARIMA$residuals","ResidualOutput.ResidualOutput.ResidualOutput.ResidualOutput.ResidualOutput.BasicARIMA$residuals","ResidualOutput.ResidualOutput.ResidualOutput.ResidualOutput.BasicARIMA$residuals","ResidualOutput.ResidualOutput.ResidualOutput.BasicARIMA$residuals","ResidualOutput.ResidualOutput.BasicARIMA$residuals","ResidualOutput.BasicARIMA$residuals","BasicARIMA$residuals"
"1181",-0.028481201711831,-0.130265834650526,-0.00139959079446904,-0.00276645652073174,-0.0227845586349121,0.2215,-0.003233,5.18020208501999e-05
"1182",0.506759121912206,0.306482903568409,0.0189499291364004,0.00695135022460303,-0.0431675586349121,0.22547,-0.003231,-4.00117602974424e-05
"1183",-0.112008718379199,-0.0287706122479654,-0.0219741295886531,0.015349531000589,-0.0633645586349121,0.22928,-0.00323,3.96862581339972e-05
"1184",-0.210739414534759,-0.156908214177905,0.00743008297287512,0.0224416569948475,-0.0832225586349121,0.23291,-0.003228,4.91243829912057e-05
"1185",0.0180014269236937,-0.0131222963714104,-0.0267254211091959,0.0280647415679712,-0.102603558634912,0.23637,-0.003225,-4.90778879500552e-05
"1186",0.00446272802776138,0.035012150154789,0.00284677290497933,0.031582868598496,-0.121383558634912,0.23965,-0.003221,2.61048161118715e-05
"1187",0.0679078234619683,0.174824913106939,-0.00945699798260506,0.032815281468673,-0.139413558634912,0.24274,-0.003216,3.33299264640984e-05
"1188",-0.454758562545148,-0.250870781992135,0.00500440094452467,0.0317321922449211,-0.156583558634912,0.24564,-0.003211,3.52893014010645e-05
"1189",-0.0596795455857595,-0.136648999484695,-0.000865860030636129,0.0286408317525126,-0.172763558634912,0.24836,-0.003204,3.22405223096566e-05
"1190",0.202137642666816,0.0210154007373684,0.0124073108005206,0.0248749650995535,-0.187803558634912,0.25088,-0.003197,2.50985277272519e-05
"1191",0.366767052369676,0.250731717712297,-0.00612487729804523,0.0207645856399153,-0.201583558634912,0.2532,-0.003189,1.52453156831988e-05
"1192",0.0581822830589607,0.154697926484881,0.00178549417247552,0.0163158210103032,-0.213963558634912,0.25533,-0.003179,4.29491285602877e-06
"1193",-0.380213375798209,-0.249449796998049,0.00282088381983504,0.0115249328392319,-0.224853558634912,0.25725,-0.00317,-6.14987686642363e-06
"1194",0.373588719207414,0.232758705709859,0.00594938889599918,0.00650718275521617,-0.234223558634912,0.25896,-0.003159,-1.47149496561027e-05
"1195",0.149553217660989,0.18185390416429,0.0156729412829704,0.00126042688930389,-0.242083558634912,0.26047,-0.003148,-2.04195133490791e-05
"1196",-0.157379723945795,-0.0575656260414425,0.0163934666682677,-0.00416747862745706,-0.248463558634912,0.26176,-0.003137,-2.27706519160264e-05
"1197",-0.162840748909756,-0.17936198854542,0.00132197613887008,-0.00979800770497131,-0.253403558634912,0.26283,-0.003124,-2.17819270176277e-05
"1198",0.0824437625418479,-0.0660504663031503,0.0091926872243645,-0.0154529022367624,-0.256943558634912,0.26369,-0.00311199999999999,-1.79210505186766e-05
"1199",0.418878740741379,0.338162894519018,-0.00380377439907409,-0.0203944922637829,-0.259123558634912,0.26433,-0.003099,-1.20008336534915e-05
"1200",-0.0970675112489268,0.188450825447059,-0.0123947940208559,-0.0242512326306244,-0.259973558634912,0.26474,-0.003085,9.49660611024856e-05
"1201",-0.359844969142762,0.0186165218584558,0.0025179698729239,-0.0269417410775555,-0.259543558634912,0.26492,-0.00307199999999999,2.14160744720359e-05
"1202",-0.42126889753557,-0.15034302788659,-0.00956290591140707,-0.0284539409989019,-0.257853558634912,0.26487,-0.00305800000000001,9.17989843163265e-06
"1203",-0.0650347162131837,-0.00122853576142083,0.00133883892595538,-0.0287698619315575,-0.254963558634912,0.2646,-0.003043,-3.08874917065437e-06
"1204",0.12833261688088,0.178842702861626,0.000621002913938407,-0.0278754098298578,-0.250893558634912,0.26409,-0.00302799999999999,8.628660737342e-05
"1205",-0.188763204626778,-0.0390872859060703,0.0104783078447621,-0.0259186193223854,-0.245703558634912,0.26335,-0.003013,-1.91793033810228e-06
"1206",-0.0990198534438307,-0.0636816748007852,-0.00306931851802252,-0.0235556757192025,-0.239423558634912,0.26239,-0.002998,-2.41657470603229e-05
"1207",0.25000030687288,0.185810619310142,0.00706923645744321,-0.0209315543274525,-0.232103558634912,0.2612,-0.002984,5.90995623817035e-05
"1208",-0.0647028795473505,-0.0072484807670785,0.00122866913822126,-0.0180632403314214,-0.223783558634912,0.25978,-0.00296,-3.08982062162676e-05
"1209",-0.163613400763372,-0.149833562065226,-0.00046294647732345,-0.0149329868990143,-0.214503558634912,0.25813,-0.00294999999999999,4.91918953891e-05
"1210",0.141031308309683,0.0499015601532896,-0.00545264524046851,-0.0115578462104221,-0.204303558634912,0.25626,-0.00293,-4.23133841938037e-05
"1211",0.277409629606319,0.283068800628099,-0.000109122130194789,-0.00807513842945459,-0.193223558634912,0.25417,-0.00292000000000001,3.79762923219393e-05
"1212",-0.228298940444209,0.00872311330356841,-0.00711503110613008,-0.00513405960525473,-0.181343558634912,0.25185,-0.00289,-5.18196812238078e-05
"1213",-0.384168505534391,-0.222651237258432,-0.000786133573942364,-0.0029125152545835,-0.168723558634912,0.24931,-0.00287999999999999,3.13054447613758e-05
"1214",-0.172818563844098,-0.237390140712744,-0.000274488206536944,-0.0014106887549635,-0.155433558634912,0.24654,-0.00286,-5.50278806836779e-05
"1215",-0.0714544586471058,-0.270517020911391,0.0029930592686644,-0.000658629492107765,-0.141533558634912,0.24356,-0.00284,3.16523349215281e-05
"1216",-0.0576239478428946,-0.321994170670298,-0.00294690310837813,-0.000516654835348462,-0.127093558634912,0.24036,-0.00281999999999999,-5.15275276185e-05
"1217",0.0242064933092314,-0.29523942949051,0.00471208816984342,-0.00041307227687512,-0.112153558634912,0.23693,-0.00280000000000002,3.75144722704056e-05
"1218",-0.00171891694990278,-0.332098367619794,0.00295825555217156,-0.000198417783925625,-0.0967935586349121,0.23329,-0.00277999999999998,5.5661509659188e-05
"1219",0.38300147144706,0.0201531252689409,0.00425015371863463,0.000138782553404465,-0.0810625586349121,0.22943,-0.00276000000000001,-3.55913745666567e-05
