,V1,V2,V3,,,,,,
1,0.115846031,0.256907632,0.130778527,0.128969899,0.287516666,0.145781615,0.156747865,0.314271409,0.16197065
2,0.128969899,0.287516666,0.145781615,,,,,,
3,0.156747865,0.314271409,0.16197065,,,,,,
4,0.187026031,0.346074923,0.180501672,0.208437351,0.364414953,0.191010322,0.217113758,0.370031471,0.194270629
5,0.208437351,0.364414953,0.191010322,,,,,,
6,0.217113758,0.370031471,0.194270629,,,,,,
